Team,Gms,Tot Pts,Pts/G,RushYds,RYds/G,PassYds,PYds/G,TotYds,Yds/G
New Orleans Saints,16,401,25.1,1818,113.6,4764,297.8,6582,411.4
Pittsburgh Steelers,16,436,27.2,1752,109.5,4825,301.6,6577,411.1
Indianapolis Colts,16,458,28.6,1612,100.8,4894,305.9,6506,406.6
Denver Broncos,16,482,30.1,1785,111.6,4661,291.3,6446,402.9
Philadelphia Eagles,16,474,29.6,1992,124.5,4356,272.2,6348,396.8
Green Bay Packers,16,486,30.4,1917,119.8,4261,266.3,6178,386.1
Dallas Cowboys,16,467,29.2,2354,147.1,3784,236.5,6138,383.6
Atlanta Falcons,16,381,23.8,1498,93.6,4553,284.6,6051,378.2
Seattle Seahawks,16,394,24.6,2762,172.6,3250,203.1,6012,375.8
New York Giants,16,380,23.8,1603,100.2,4272,267.0,5875,367.2
New England Patriots,16,468,29.2,1727,107.9,4121,257.6,5848,365.5
Baltimore Ravens,16,409,25.6,2019,126.2,3819,238.7,5838,364.9
Washington Redskins,16,301,18.8,1691,105.7,4047,252.9,5738,358.6
Miami Dolphins,16,388,24.2,1872,117.0,3729,233.1,5601,350.1
Cincinnati Bengals,16,365,22.8,2147,134.2,3421,213.8,5568,348.0
Carolina Panthers,16,339,21.2,2036,127.2,3511,219.4,5547,346.7
Houston Texans,16,372,23.2,2161,135.1,3352,209.5,5513,344.6
San Diego Chargers,16,348,21.8,1367,85.4,4098,256.1,5465,341.6
Detroit Lions,16,321,20.1,1422,88.9,4030,251.9,5452,340.8
San Francisco 49ers,16,306,19.1,2176,136.0,3063,191.4,5239,327.4
Chicago Bears,16,319,19.9,1441,90.1,3792,237.0,5233,327.1
New York Jets,16,283,17.7,2280,142.5,2946,184.1,5226,326.6
Cleveland Browns,16,299,18.7,1728,108.0,3465,216.6,5193,324.6
Arizona Cardinals,16,310,19.4,1308,81.8,3808,238.0,5116,319.8
Kansas City Chiefs,16,353,22.1,1918,119.9,3182,198.9,5100,318.8
Buffalo Bills,16,343,21.4,1482,92.6,3614,225.9,5096,318.5
Minnesota Vikings,16,325,20.3,1804,112.8,3244,202.8,5048,315.5
St. Louis Rams,16,324,20.2,1635,102.2,3400,212.5,5035,314.7
Tennessee Titans,16,254,15.9,1447,90.4,3412,213.2,4859,303.7
Tampa Bay Buccaneers,16,277,17.3,1375,85.9,3297,206.1,4672,292.0
Jacksonville Jaguars,16,249,15.6,1633,102.1,3001,187.6,4634,289.6
Oakland Raiders,16,253,15.8,1240,77.5,3275,204.7,4515,282.2
